Category,Abbrev_Journal,ISSN,Cites2011,JIF,JIF_5yr,Immediacy,Articles_2011,Half_Life,Eigenfactor,AI,,,Query,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,QueryDate
Ecology,MAR ECOL-PROG SER,0171-8630,30131,2.711,3.086,0.442,529,9.5,0.05428,1.026,,kept citations because they seemed to refer to real citations of the right article,Marine Ecology Progress Series from 2007 to 2011: all,1000,23906,7,3415.14,23.91,8542.99,352.86,3.32,54,73,40,16.95,30,4022.12,63.42,1421.6,38.64,40.15,4/21/13
Ecology,METHODS ECOL EVOL,2041-210X,278,5.093,5.093,0.75,76,1.4,0.00174,2.205,,data only 2010-2011 (new journal),Methods in Ecology from 2007 to 2011: all,124,2101,4,525.25,16.94,978.68,51.22,3.01,18,41,21,6.75,12,609.08,24.68,282.57,33.33,12.87,4/21/13
Ecology,MICROB ECOL,0095-3628,6098,2.912,3.609,0.534,174,6.8,0.0146,1.095,,,Microbial Ecology from 2007 to 2011: all,771,13211,7,1887.29,17.13,3628.89,217.01,4.09,43,63,32,10.75,20,2531.5,50.31,689.86,36.1,28.96,4/22/13
Ecology,MOL ECOL,0962-1083,26842,5.522,6.347,1.109,368,6.3,0.07334,2.082,,,Molecular Ecology from 2007 to 2011: all,1000,45324,7,6474.86,45.32,16213.48,333.19,3.45,79,126,67,26.9,47,8109.4,90.05,2878.13,80.15,60.15,4/22/13
Ecology,MOL ECOL RESOUR,1755-098X,3037,3.062,2.907,1.691,165,2.5,0.0152,0.876,,,Molecular Ecology Resources from 2007 to 2011: all,983,15214,6,2535.67,15.48,7666.35,340.82,3.28,48,98,44,16.94,29,3339.25,57.79,1647.24,74.74,34.98,4/22/13
Ecology,NAT AREA J,0885-8608,615,0.789,0.936,0.128,39,9.6,0.00101,0.294,,,Natural Areas Journal from 2007 to 2011: all,253,956,7,136.57,3.78,409.83,139.58,2.44,14,18,11,4.45,8,186.85,13.67,79.39,9.9,10.13,4/22/13
Ecology,NAT HIST,0028-0712,375,0.176,0.117,NA,NA,10,0.00014,0.044,,Too problematic to get unique journal results,,,,,,,,,,,,,,,,,,,,
Ecology,NEW ZEAL J ECOL,0110-6465,780,1.778,1.486,0.229,35,10,0.0014,0.544,,Not all titles correct but the actual links seem good,New Zealand Journal of Ecology from 2007 to 2011: all,139,1045,7,149.29,7.52,411.74,60.82,2.85,15,22,14,5,9,219.95,14.83,85.9,13.04,10.87,4/22/13
Ecology,NORTHEAST NAT,1092-6194,325,0.296,0.492,NA,NA,6.1,0.00105,0.182,,,Northeastern Naturalist from 2007 to 2011: all,308,1177,7,168.14,3.82,541.24,147.5,2.64,13,19,9,4.97,8,216.99,14.73,100.11,11.14,9.58,4/22/13
Ecology,NORTHWEST SCI,0029-344X,619,0.347,0.661,0.222,18,10,0.00074,0.216,,,Northwest Science from 2007 to 2011: all,232,891,49,18.18,3.84,347.25,115.53,2.66,13,17,12,3.93,7,180.24,13.43,69.56,9.06,8.95,4/22/13
Ecology,OECOLOGIA,0029-8549,27832,3.412,3.888,0.524,311,10,0.04034,1.496,,,oecologia from 2007 to 2011: all,1000,23389,7,3341.29,23.39,8287.26,361.38,3.37,52,72,39,13.52,27,4189.8,64.73,1483.78,39.85,38.65,4/6/13
Ecology,OIKOS,0030-1299,17502,3.061,3.604,0.845,207,10,0.03049,1.542,,,Oikos from 2007 to 2011: all,973,17534,7,2504.86,18.02,6662.79,397.51,3.11,49,70,37,14.21,28,3311.15,57.54,1243.42,39.96,34.69,4/22/13
Ecology,,,,,,,,,,,,Journal started 2011 - don't use for analysis,Open Journal of Ecology from 2007 to 2011: all,7,3,3,1,0.43,2.5,3.04,3.14,1,1,1,1,1,1,1,0.83,1,1,4/22/13
Ecology,ORYX,0030-6053,1525,1.826,2.023,0.403,67,6.3,0.00469,0.728,,,ORYX from 2007 to 2011: all,472,4139,7,591.29,8.77,1525.99,220.47,3.08,29,42,23,8.09,16,785.72,28.03,290.98,25.73,18.73,4/22/13
Ecology,P ACAD NAT SCI PHILA,0097-3157,834,0.579,0.863,NA,NA,10,0.00053,0.361,,No match,,,,,,,,,,,,,,,,,,,,
Ecology,P ROY SOC B-BIOL SCI,0962-8452,34839,5.415,5.67,1.345,466,8.2,0.09614,2.454,,,Proceedings of the Royal Society from 2007 to 2011: all,990,34315,7,4902.14,34.66,15316.74,500.9,2.39,85,117,67,32.25,50,6132.11,78.31,2738.64,63.55,65.92,4/22/13
Ecology,PALEOBIOLOGY,0094-8373,3402,2.926,3.294,0.875,40,10,0.00488,1.566,,,Paleobiology from 2007 to 2011: all,121,1349,7,192.71,11.15,755.22,66.23,2.4,19,27,16,9.5,15,285.78,16.91,152.95,15.56,16.03,4/23/13
Ecology,PEDOBIOLOGIA,0031-4056,1855,1.816,2,0.254,67,9.6,0.00209,0.587,,,Pedobiologia from 2007 to 2011: all,217,2279,7,325.57,10.5,810.83,76.04,3.62,24,34,19,5.94,12,434.41,20.84,152.48,20.02,15.62,4/23/13
Ecology,PERSPECT PLANT ECOL,1433-8319,1095,3.208,5.229,0.31,29,6.3,0.00372,2.112,,,Perspectives in Plant Ecology from 2007 to 2011: all,116,2764,7,394.86,23.83,910.67,40.45,3.43,27,47,24,7.67,15,524.25,22.9,169.45,33.32,15.68,4/23/13
Ecology,PLANT ECOL,1385-0237,4528,1.829,2.115,0.287,174,7.7,0.01038,0.717,,,Plant Ecology from 2007 to 2011: all,793,8021,7,1145.86,10.11,3065.88,306.66,3.19,30,37,24,8.82,16,1540.76,39.25,584.36,16.76,23.82,4/23/13
Ecology,PLANT SPEC BIOL,0913-557X,395,0.792,0.974,0,28,10,0.0006,0.283,,,Plant Species Biology from 2007 to 2011: all,146,523,7,74.71,3.58,234.01,64.03,2.82,9,11,7,4.05,6,103.7,10.18,45.18,4.69,7.78,4/23/13
Ecology,POL J ECOL,1505-2249,401,0.506,0.703,0.095,74,5,0.00123,0.181,,,Polish Journal of Ecology from 2007 to 2011: all,275,763,7,109,2.77,409.33,135.2,2.71,10,13,7,3.7,7,141.87,11.91,74.23,7.14,8.9,4/23/13
Ecology,POL POLAR RES,0138-0338,320,0.875,NA,0.038,26,10,0.00048,NA,,,,,,,,,,,,,,,,,,,,,,
Ecology,POLAR BIOL,0722-4060,3712,1.659,1.692,0.549,184,8.4,0.0077,0.532,,,Polar Biology from 2007 to 2011: all,856,7389,7,1055.57,8.63,2332.11,285.53,3.69,27,34,21,6.81,13,1465.75,38.29,460.39,16.4,20.75,4/24/13
Ecology,POLAR REC,0032-2474,327,0.962,0.884,0.179,28,8.6,0.00064,0.254,,,Polar Record from 2007 to 2011: all,339,701,190,3.69,2.07,499.14,291.98,1.43,13,19,10,5.83,10,143.64,11.98,101.81,11.75,10.95,4/24/13
Ecology,POLAR RES,0800-0395,790,1.616,1.752,0.378,37,9.3,0.00164,0.651,,,Polar Research from 2007 to 2011: all,139,1202,7,171.71,8.65,553.07,67.87,2.82,19,25,15,6.94,11,227.66,15.09,103.18,13.45,12.48,4/24/13
Ecology,POPUL ECOL,1438-3896,808,2.287,2.101,0.667,54,4.9,0.00299,0.752,,,Population Ecology from 2007 to 2011: all,251,2148,7,306.86,8.56,843.45,107.89,3.1,20,27,16,5.56,12,445.64,21.11,174.92,14.7,14.85,4/20/13
Ecology,RANGELAND ECOL MANAG,1550-7424,780,1.461,1.61,0.173,75,4,0.00364,0.513,,,Rangeland Ecology from 2007 to 2011: all,399,3579,7,511.29,8.97,1301.28,147.86,3.2,25,35,19,7.72,14,682.61,26.13,246.49,20.47,18.67,4/24/13
Ecology,RANGELAND J,1036-9872,468,1.405,1.634,0.73,37,4.3,0.00112,0.398,,,Rangeland Journal from 2007 to 2011: all,183,1603,7,229,8.76,627.59,76.39,3.13,20,28,17,4.94,9,318.29,17.84,124.39,16.4,12.96,4/25/13
Ecology,RESTOR ECOL,1061-2971,3103,1.681,2.481,0.415,118,6.8,0.00816,0.853,,,Restoration Ecology from 2007 to 2011: all,579,7058,7,1008.29,12.19,3122.43,255,2.87,33,46,27,12.1,21,1380.56,37.16,591.32,26.08,26.83,4/25/13
Ecology,REV CHIL HIST NAT,0716-078X,1158,0.85,1.059,0.176,34,10,0.0012,0.32,,,Revista chilena de historia natural from 2007 to 2011: all,313,749,7,107,2.39,272.64,135.47,2.87,12,16,10,3.13,6,141.73,11.91,50.95,8.72,7.88,4/25/13
Ecology,REV ECOL-TERRE VIE,0249-7395,363,0.236,0.418,0,28,10,0.00033,0.122,,"Few results, kept citations in analysis",Revue d'Ecologie from 2007 to 2011: all,48,70,7,10,1.46,27.66,21.4,2.83,4,7,4,1.33,3,11.89,3.45,4.66,4.9,3,4/25/13
Ecology,RUSS J ECOL+,1067-4136,532,0.271,0.498,0.012,83,7.6,0.00116,0.153,,,Russian Journal of Ecology from 2007 to 2011: all,424,537,7,76.71,1.27,288.07,253.15,2.21,8,11,6,2.67,5,100.66,10.03,54.29,6.08,5.83,4/25/13
Ecology,S AFR J WILDL RES,0379-4369,432,1.085,1.09,0,26,9.9,0.00073,0.326,,,South African Journal of Wildlife Research from 2007 to 2011: all,127,558,7,79.71,4.39,211.61,49.62,3.05,11,17,9,3.56,6,103.12,10.16,39.58,10.3,7.87,4/25/13
Ecology,SOUTHWEST NAT,0038-4909,1005,0.309,0.44,0.07,71,10,0.00127,0.159,,,Southwestern Naturalist from 2007 to 2011: all,416,1023,7,146.14,2.46,456.38,182.58,2.78,11,13,8,3.9,7,189.52,13.77,84.57,6.16,8.75,4/25/13
Ecology,THEOR ECOL-NETH,1874-1738,121,1.545,1.697,0.222,36,2.5,0.00098,0.809,,,Theoretical Ecology from 2007 to 2011: all,115,948,7,135.43,8.24,468.9,60.48,2.46,14,22,13,5.44,10,213.11,14.6,100.06,13.71,11.48,4/25/13
Ecology,THEOR POPUL BIOL,0040-5809,3420,1.65,2.059,0.083,48,10,0.00702,1.032,,,Theoretical Population Biology from 2007 to 2011: all,342,3574,7,510.57,10.45,1738.96,176.92,2.4,26,36,19,9.52,16,633.01,25.16,309.36,20.17,20,4/25/13
Ecology,TRENDS ECOL EVOL,0169-5347,22734,15.748,16.981,2.514,74,8.4,0.06008,7.913,,,"Trends in Ecology and Evolution OR ""Trends in Ecology & Evolution"" from 2007 to 2011: all",460,31720,7,4531.43,68.96,12924.76,221.8,2.72,103,151,84,33.26,59,5994.06,77.42,2409,91.1,66.75,4/25/13
Ecology,TROP ECOL,0564-3295,304,0.768,NA,0.059,34,8.9,0.00042,NA,,,Tropical Ecology from 2007 to 2011: all,166,674,7,96.29,4.06,271.42,68.41,2.98,11,13,8,3.67,6,142.06,11.92,55.97,6.16,7.9,4/25/13
Ecology,VIE MILIEU,0240-8759,567,0.421,0.606,0,13,10,0.00054,0.19,,Kept in citations because they seemed real,Vie et Milieu from 2007 to 2011: all,131,359,7,51.29,2.74,152.6,54.33,3.23,7,10,6,2.04,5,66.32,8.14,29.02,6.71,5.02,4/25/13
Ecology,WEST N AM NATURALIST,1527-0904,404,0.399,0.494,0.062,65,6.7,0.00087,0.143,,,Western North American Naturalist from 2007 to 2011: all,445,1874,7,267.71,4.21,1001.11,226.49,2.53,17,26,16,8.76,14,403.6,20.09,223.24,15.78,14.65,4/25/13
Ecology,WETLANDS,0277-5212,2592,1.338,1.766,0.179,112,8.1,0.00522,0.547,,,Wetlands from 2007 to 2011: all,566,4564,7,652,8.06,1685.43,225.74,3.17,25,31,20,6.94,13,883.56,29.72,325.85,15.07,19.59,4/25/13
Ecology,WILDLIFE BIOL,0909-6396,758,0.989,1.314,0.119,42,6.6,0.00227,0.474,,,Wildlife Biology from 2007 to 2011: all,260,2101,7,300.14,8.08,722.99,86.07,3.63,20,25,14,5.8,10,373.89,19.34,125.66,12.08,14.45,4/26/13
Ecology,WILDLIFE MONOGR,0084-0173,665,5.333,4.929,0.2,5,10,0.00058,2.24,,didn't find many results for some reason with google scholar,Wildlife Monographs from 2007 to 2011: all,12,243,7,34.71,20.25,69.75,3.42,3.67,9,12,9,2.38,5,50,7.07,14.37,12.04,3.42,4/26/13
Ecology,WILDLIFE RES,1035-3712,1797,1.323,1.5,0.375,80,8.7,0.00353,0.476,,,Wildlife Research from 2007 to 2011: all,412,3552,7,507.43,8.62,1329.36,150.42,3.39,23,30,19,7.56,13,689.03,26.25,253.57,15.1,17.53,4/26/13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herpetology,HERPETOL MONOGR,0733-1347,335,2.818,2.588,0.2,5,10,0.00058,0.927,0.58,,"Herpetological Monographs OR ""Herpetological Monograph"" from 2007 to 2011: all",26,248,7,35.43,9.54,112.64,11.73,2.85,10,14,8,3.45,7,45.53,6.75,19.62,9,6.5,4/26/13
Herpetology,HERPETOLOGICA,0018-0831,2146,1.605,1.451,0.098,41,10,0.00199,0.51,1.99,,Herpetologica from 2007 to 2011: all,97,435,7,62.14,4.48,195.57,42.53,2.86,10,14,8,3.45,6,82.14,9.06,37.21,8.43,6.9,4/26/13
Herpetology,COPEIA,0045-8511,4894,1.101,1.3,0.167,60,10,0.00412,0.488,4.12,,Copeia from 2007 to 2011: all,201,1094,7,156.29,5.44,438.87,93.11,2.72,15,24,12,4.79,9,203.75,14.27,84.5,15.81,9.7,4/26/13
Herpetology,J HERPETOL,0022-1511,2645,1.077,1.174,0.344,64,10,0.00317,0.395,3.17,,Journal of Herpetology from 2007 to 2011: all,442,2564,7,366.29,5.8,1118.44,189.42,2.84,19,25,13,6.94,10,476.3,21.82,205.74,14,13.7,4/26/13
Herpetology,AMPHIBIA-REPTILIA,0173-5373,998,1.056,1.058,0.156,64,8.2,0.00183,0.303,1.83,,,,,,,,,,,,,,,,,,,,,
Herpetology,HERPETOL J,0268-0130,487,0.812,0.902,0.316,38,7.5,0.00096,0.284,0.96,,,,,,,,,,,,,,,,,,,,,
Herpetology,HERPETOL CONSERV BIO,1931-7603,140,0.615,0.764,0.02,49,3.1,0.0008,0.241,0.8,,,,,,,,,,,,,,,,,,,,,
Herpetology,HERPETOL REV,,,,,,,,,,,csv not saved,Herpetological Review from 2007 to 2011: all,542,1167,7,166.71,2.15,487.24,285.47,2.56,13,14,9,3.6,5,217.92,14.76,90.53,5.29,7.83,4/22/13
,,,,,,,,,,,,kept citations in because the seemed like the real references,Salamandra from 2007 to 2011: all,101,296,7,42.29,2.93,125.17,44.75,2.94,7,9,6,2.04,4,60.75,7.79,25.06,4.69,4.88,4/26/13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Science,SCIENCE,0036-8075,480836,31.201,32.452,6.075,871,9.4,1.41162,17.525,,,,,,,,,,,,,,,,,,,,,,
General Science,NATURE,0028-0836,526505,36.28,36.235,9.69,841,9.4,1.65524,20.373,,,,,,,,,,,,,,,,,,,,,,
General Science,P NATL ACAD SCI USA,0027-8424,504243,9.681,10.472,1.874,3614,7.8,1.60168,4.896,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,PLOS BIOL,1545-7885,20579,11.452,13.63,2.461,180,4.6,0.14959,7.835,,,,,,,,,,,,,,,,,,,,,,
Biology,PLOS COMPUT BIOL,1553-734X,8924,5.215,5.844,0.71,407,3.1,0.06959,2.724,,,,,,,,,,,,,,,,,,,,,,
Biology/Genetics,PLOS GENET,1553-7390,16668,8.694,9.173,1.376,548,2.9,0.15426,5.107,,,,,,,,,,,,,,,,,,,,,,
Medicine,PLOS MED,1549-1277,12574,16.269,15.379,4.357,126,4.1,0.07626,6.3,,,,,,,,,,,,,,,,,,,,,,
?,PLOS NEGLECT TROP D,1935-2727,3848,4.716,4.983,0.705,424,2.2,0.0193,1.489,,,,,,,,,,,,,,,,,,,,,,
Science,PLOS ONE,1932-6203,75544,4.092,4.537,0.437,13781,2.4,0.50162,1.798,,,"PLOS ONE OR ""Public Library of Science ONE"" from 2007 to 2011: all",1000,98448,7,14064,98.45,22316.15,227.6,4.91,137,185,112,27.6,52,18255.71,135.11,4135.48,97.23,90.78,4/26/13
Medicine,PLOS PATHOG,1553-7366,15642,9.127,9.629,1.05,542,2.7,0.11382,4.086,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, Ecology from 2007 to 2011: all,PLOS ONE-Ecology-Anywhere,997,28943,7,4134.71,29.03,8008.7,297.82,4.04,77,112,66,16.65,33,6012.4,77.54,1665.21,65.41,46.99,4/26/13
