JCR Year and Edition: 2011 Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
INT J PRIMATOL;0164-0291;2623;1.538;1.942;0.716;88;9.4;0.00443;0.634;
INTEGR COMP BIOL;1540-7063;2694;2.447;2.763;1.057;87;6.4;0.00834;1.171;
INTEGR ZOOL;1749-4877;177;1.208;;0.730;37;2.4;0.00102;;
INVERTEBR BIOL;1077-8306;592;1.306;1.271;0.182;33;8.3;0.00141;0.452;
INVERTEBR REPROD DEV;0792-4259;580;0.478;0.633;0.037;27;>10.0;0.00044;0.188;
INVERTEBR SYST;1445-5226;467;1.351;1.715;0.400;25;5.2;0.00162;0.585;
ITAL J ZOOL;1125-0003;621;0.939;0.841;0.114;88;7.6;0.00083;0.195;
J AM ASSOC LAB ANIM;1559-6109;342;0.708;0.861;0.215;79;3.7;0.00159;0.231;
J ANIM ECOL;0021-8790;11942;4.937;4.971;0.868;129;>10.0;0.02574;2.067;
J COMP NEUROL;0021-9967;35443;3.808;4.114;1.173;197;>10.0;0.04646;1.615;
J COMP PHYSIOL A;0340-7594;4569;2.011;2.105;0.491;106;>10.0;0.00719;0.789;
J COMP PHYSIOL B;0174-1578;2763;1.966;2.097;0.577;97;8.7;0.00639;0.738;
J COMP PSYCHOL;0735-7036;2415;1.725;2.319;0.220;50;>10.0;0.00367;0.885;
J CONCHOL;0022-0019;250;0.540;0.574;0.042;24;>10.0;0.00030;0.153;
J ETHOL;0289-0771;627;1.183;1.200;0.309;68;5.6;0.00206;0.423;
J EXP PSYCHOL ANIM B;0097-7403;2094;2.052;2.155;0.438;48;>10.0;0.00318;0.768;
J EXP ZOOL PART A;1932-5223;996;1.642;1.612;0.239;67;5.4;0.00362;0.544;
J EXP ZOOL PART B;1552-5007;1026;2.416;2.523;0.360;50;4.4;0.00585;1.135;
J HELMINTHOL;0022-149X;1309;1.380;1.316;0.159;69;9.6;0.00194;0.355;
J HERPETOL;0022-1511;2645;1.077;1.174;0.344;64;>10.0;0.00317;0.395;
J INVERTEBR PATHOL;0022-2011;3898;2.064;2.147;0.676;136;>10.0;0.00619;0.570;
J MAMM EVOL;1064-7554;380;1.952;;0.500;14;8.4;0.00111;;
J MAMMAL;0022-2372;6380;1.614;2.033;0.775;129;>10.0;0.00934;0.673;
J MED PRIMATOL;0047-2565;805;1.301;1.198;0.180;50;7.3;0.00181;0.367;
J MOLLUS STUD;0260-1230;1349;1.227;1.567;0.680;50;>10.0;0.00254;0.577;
J NEMATOL;0022-300X;1832;0.522;1.222;0.000;6;>10.0;0.00136;0.359;
J THERM BIOL;0306-4565;1564;1.373;1.320;0.287;80;8.6;0.00241;0.390;
J WILDLIFE MANAGE;0022-541X;8442;1.522;1.972;0.176;204;>10.0;0.01403;0.633;
J ZOOL;0952-8369;7120;2.043;2.170;0.373;102;>10.0;0.01001;0.767;
J ZOOL SYST EVOL RES;0947-5745;827;1.950;2.129;0.491;57;5.6;0.00273;0.768;
LAB ANIM-UK;0023-6772;1309;1.209;1.357;0.156;45;>10.0;0.00186;0.386;
LEARN BEHAV;1543-4494;504;2.000;1.503;0.211;38;6.0;0.00181;0.615;
MALACOLOGIA;0076-2997;784;1.429;1.283;0.143;21;>10.0;0.00078;0.400;
MAMM BIOL;1616-5047;593;1.609;1.528;0.208;106;4.4;0.00200;0.476;
MAMM STUDY;1343-4152;156;0.581;;0.000;29;6.7;0.00034;;
MAMMAL REV;0305-1838;1089;3.034;3.475;1.000;20;9.2;0.00192;1.308;
MAMMALIA;0025-1461;1171;0.808;0.885;0.182;44;>10.0;0.00116;0.269;
MAR MAMMAL SCI;0824-0469;2107;1.611;1.825;0.493;75;9.7;0.00372;0.600;
MOLLUSCAN RES;1323-5818;134;0.906;0.867;0.160;25;5.8;0.00043;0.310;
NAUTILUS;0028-1344;380;0.574;0.593;0.038;26;>10.0;0.00036;0.165;
NEMATOLOGY;1388-5545;1060;0.911;1.010;0.306;85;6.8;0.00172;0.235;
NEMATROPICA;0099-5444;300;0.652;0.628;0.062;32;>10.0;0.00022;0.108;
NEOTROP ICHTHYOL;1679-6225;586;1.064;1.334;0.109;92;4.2;0.00179;0.287;
NEW ZEAL J ZOOL;0301-4223;762;0.919;0.846;0.103;29;>10.0;0.00082;0.263;
NORTH-WEST J ZOOL;1584-9074;137;0.747;;0.145;62;2.9;0.00042;;
PAC SCI;0030-8870;1093;0.862;0.991;0.205;39;>10.0;0.00127;0.320;
PACHYDERM;1026-2881;113;0.286;;0.000;8;7.9;0.00019;;
PAK J ZOOL;0030-9923;297;0.338;0.273;0.049;182;9.8;0.00028;0.038;
PHYSIOL BIOCHEM ZOOL;1522-2152;2273;2.201;2.490;0.579;57;6.4;0.00718;0.970;
PRIMATES;0032-8332;1810;1.405;1.680;0.227;44;>10.0;0.00248;0.610;
RAFFLES B ZOOL;0217-2445;797;1.467;1.318;0.217;60;4.8;0.00278;0.446;
REC AUST MUS;0067-1975;462;1.345;1.164;0.077;13;>10.0;0.00045;0.404;
REPROD FERT DEVELOP;1031-3613;2555;2.109;2.329;0.465;86;7.0;0.00491;0.587;
REV SUISSE ZOOL;0035-418X;783;0.351;0.410;0.098;41;>10.0;0.00043;0.131;
RUSS J NEMATOL;0869-6918;139;0.472;0.516;0.000;17;8.2;0.00024;0.142;
S AFR J WILDL RES;0379-4369;432;1.085;1.090;0.000;26;9.9;0.00073;0.326;
SPIXIANA;0341-8391;237;0.447;;0.053;19;>10.0;0.00025;;
STUD NEOTROP FAUNA E;0165-0521;425;0.357;0.600;0.038;26;>10.0;0.00043;0.196;
TROP ZOOL;0394-6975;226;0.567;0.789;0.000;4;>10.0;0.00033;0.234;
TURK J ZOOL;1300-0179;580;0.591;;0.118;102;7.3;0.00089;;
URSUS;1537-6176;363;0.850;1.178;0.056;18;8.1;0.00077;0.393;
VELIGER;0042-3211;690;0.500;0.707;0.200;5;>10.0;0.00045;0.248;
VET COMP ORTHOPAED;0932-0814;754;0.812;1.125;0.538;78;5.1;0.00154;0.234;
WILDLIFE BIOL;0909-6396;758;0.989;1.314;0.119;42;6.6;0.00227;0.474;
WILDLIFE MONOGR;0084-0173;665;5.333;4.929;0.200;5;>10.0;0.00058;2.240;
