SourceID,Title,SNIP 2007,SJR 2007,SNIP 2008,SJR 2008,SNIP 2009,SJR 2009,SNIP 2010,SJR 2010,SNIP 2011,SJR 2011
21606,Evolutionary Ecology,0.718,1.044,1.171,1.392,1.027,1.242,0.975,1.094,0.98,1.018
21608,Evolutionary Ecology Research,0.772,1.28,0.639,0.917,0.664,1.026,0.678,0.923,0.548,0.854
22606,Excellence in Ecology,0,0,0.337,0,0,0,0,0,0,0
10600153343,Expert Review of Obstetrics and Gynecology,0,0,0,0,0.12,0.136,0.218,0.181,0.214,0.207
19705,FEMS Micriobiology Ecology,1.403,1.251,1.281,1.439,1.185,1.412,1.243,1.428,1.162,1.353
17700155709,Fire Ecology,0,0,0,0,0,0,0.211,0.436,0.521,0.448
12762,Fisheries Management and Ecology,1.188,0.698,0.847,0.71,0.929,0.692,0.783,0.708,0.879,0.762
25720,Forest Ecology and Management,1.291,1.097,1.47,1.315,1.39,1.113,1.365,1.182,1.441,1.295
144675,Frontiers in Ecology and the Environment,2.402,1.408,2.067,1.822,2.727,2.392,2.948,2.961,3.383,3.664
18002,Functional Ecology,1.33,1.7,1.521,2,1.568,2.135,1.81,2.46,1.643,2.282
95143,Fungal Ecology,0,0,0,0,0.557,0.223,0.713,0.633,0.975,0.648
22044,Global Ecology and Biogeography,1.567,2.236,2.093,2.997,2.184,3.39,2.163,3.279,1.915,3.009
37102,Global Ecology and Biogeography Letters,0,0,0,0,0,0,0,0,0,0
98703,Gynaecologia. International monthly review of obstetrics and gynecology. Revue internationale mensuelle d'obstetrique et de gynecologie. Monatsschrift f,0,0,0,0,0,0,0,0,0,0
59987,Holarctic Ecology,0,0,0,0,0,0,0,0,0,0
110220,Human Ecology,1.223,0.681,1.324,0.655,1.321,0.865,1.366,0.982,1.255,0.892
55750,Human Ecology Review,0.828,0.458,0.433,0.254,0.43,0.284,0.707,0.415,0.538,0.361
27507,Infectious Diseases in Obstetrics and Gynecology,0.498,0.381,0.612,0.398,0.754,0.456,1.068,0.387,0.829,0.491
19700175824,International Journal of Ecology,0,0,0,0,0,0,0,0,0.043,0.134
17700156220,International Journal of Ecology and Development,0,0,0,0,0,0,0.014,0.112,0,0.1
22749,International Journal of Ecology and Environmental Sciences,0.269,0.171,0.251,0.178,0.19,0.168,0.431,0.209,0.37,0.132
27521,International Journal of Gynecology and Obstetrics,0.727,0.483,0.698,0.454,0.857,0.643,0.831,0.578,0.884,0.602
23292,International Journal of Sustainable Development and World Ecology,0.354,0.233,0.5,0.273,0.409,0.271,0.399,0.323,0.699,0.396
27525,International Urogynecology Journal and Pelvic Floor Dysfunction,1.45,0.983,1.308,1.012,1.156,1.269,1.174,1.127,1.215,1.009
19700175480,Internet Journal of Gynecology and Obstetrics,0,0,0,0,0,0,0,0,0,0.1
11000153757,Israel Journal of Ecology and Evolution,0.539,0.315,0.205,0.196,0.454,0.307,0.472,0.52,0.361,0.456
19700182347,Issues in Ecology,0,0,0,0,0,0,0,0,0.741,2.532
27528,Italian Journal of Gynaecology and Obstetrics,0.072,0.122,0,0.1,0.031,0.103,0.037,0.118,0.027,0.113
5100155100,Japanese Journal of Conservation Ecology,0.323,0.113,0.506,0.163,0.206,0.136,0.1,0.124,0.088,0.123
23323,Japanese Journal of Ecology,0.231,0.118,0.132,0.106,0.053,0.106,0.076,0.109,0.061,0.115
29544,Journal of Animal Ecology,1.755,2.502,2.128,2.916,1.791,2.453,1.609,2.528,1.894,2.741
29547,Journal of Applied Ecology,2.61,2.887,2.238,2.572,2.098,2.67,1.983,2.602,2.239,2.851
23342,Journal of Chemical Ecology,1.145,0.915,1.142,0.989,1.147,1.016,1.178,0.928,1.31,1.133
29602,Journal of Ecology,1.951,2.829,2.13,3.151,2.245,3.024,2.005,2.944,2.198,3.537
12100157222,Journal of Ecology and Field Biology,0,0,0,0,0.153,0.135,0.202,0.15,0.197,0.16
5000157110,Journal of Ecology and Rural Environment,0.087,0.105,0.174,0.131,0.12,0.131,0.169,0.132,0.276,0.128
12400154728,Journal of Environmental Protection and Ecology,0,0,0,0,0.132,0.113,0.12,0.174,0.549,0.201
29606,Journal of Experimental Marine Biology and Ecology,1.293,1.029,1.123,1.076,1.117,1.078,0.996,1.037,0.99,0.897
29535,Journal of Freshwater Ecology,0.628,0.324,0.416,0.251,0.439,0.254,0.295,0.249,0.4,0.278
5700161261,Journal of Human Ecology,0,0,0,0,0,0,0,0,0,0
23411,Journal of Industrial Ecology,1.586,0.97,1.529,1.054,1.284,1.018,1.388,0.791,1.221,0.889
7100153134,Journal of Landscape Ecology,0,0,0.109,0.125,0.084,0.142,0.329,0.209,0.544,0.197
144915,Journal of Minimally Invasive Gynecology,1.155,0.703,1.12,0.704,1.312,0.94,1.101,0.827,1.188,0.798
27604,Journal of Obstetrics and Gynaecology,0.48,0.303,0.405,0.273,0.359,0.304,0.408,0.267,0.41,0.294
50019,Journal of obstetrics and gynaecology (Tokyo,0,0,0,0,0,0,0,0,0,0
37502,Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC,0,0.481,0,0.444,0,0.526,0,0.496,0,0.551
27608,Journal of Obstetrics and Gynaecology Research,0.753,0.374,0.615,0.349,0.801,0.383,0.696,0.399,0.737,0.432
19700175455,Journal of Obstetrics and Gynecology of India,0,0,0,0,0,0,0,0,0.068,0.1
15113,Journal of Pediatric and Adolescent Gynecology,0.699,0.372,0.702,0.347,0.979,0.402,0.931,0.484,0.743,0.372
19700166522,Journal of Plant Ecology,0,0,0,0,0,0,0.419,0.565,0.98,0.799
27628,Journal of Psychosomatic Obstetrics and Gynaecology,0.629,0.465,0.706,0.581,0.942,0.452,0.857,0.484,0.928,0.543
55592,Journal of the International Federation of Gynaecology and Obstetrics,0,0,0,0,0,0,0,0,0,0
19800188015,Journal of the Turkish German Gynecology Association,0.05,0.108,0.105,0.119,0.139,0.122,0.095,0.137,0.253,0.17
23435,Journal of Tropical Ecology,1.007,0.904,1.111,1.009,0.898,0.812,0.798,0.753,0.898,0.827
29688,Journal of Vector Ecology,0.668,0.516,0.843,0.541,0.919,0.626,0.841,0.504,0.575,0.447
23972,Landscape Ecology,1.511,1.268,1.483,1.518,1.465,1.52,1.538,1.833,1.485,1.583
12167,Marine Ecology,0.863,0.614,0.806,0.558,0.752,0.65,0.748,0.622,1.057,0.819
12169,Marine Ecology - Progress Series,1.391,1.55,1.255,1.581,1.169,1.417,1.07,1.486,1.162,1.408
20266,Microbial Ecology,1.178,1.085,1.052,1.042,1.158,1.219,1.16,1.1,1.144,1.075
22940,Microbial Ecology in Health and Disease,0.312,0,0.189,0,0.142,0,0.5,0,0.375,0
20297,Molecular Ecology,2.067,2.811,2.091,2.736,2.031,2.82,1.908,2.861,1.774,2.795
20299,Molecular Ecology Notes,0,0,0,0,0,0,0,0,0,0
11700154306,Molecular Ecology Resources,0.914,0.863,0.924,0.787,1.298,1.07,0.804,0.792,1.139,1.144
94154,Netherlands Journal of Aquatic Ecology,0,0,0,0,0,0,0,0,0,0
12883,New Zealand Journal of Ecology,0.607,0.625,0.9,0.608,0.766,0.588,0.521,0.455,0.882,0.855
12400154744,Obstetrics and Gynaecology Forum,0,0,0,0,0,0.101,0.028,0.101,0,0.1
28089,Obstetrics and Gynecology,2.196,1.755,2.192,1.745,2.273,1.866,2.226,1.739,2.388,1.869
28090,Obstetrics and Gynecology Clinics of North America,0.84,0.506,0.757,0.507,0.935,0.661,0.82,0.591,0.951,0.584
18800156733,Open Ecology Journal,0,0,0,0,0,0,0.771,1.226,0.735,1.062
19989,Perspectives in Plant Ecology,0,2.235,1.998,2.119,2.165,2.337,2.651,1.927,2.806,1.634
98171,Philippine journal of obstetrics & gynecology : official publication,0,0,0,0,0,0,0,0,0,0
13019,Plankton Biology and Ecology,0.858,0,1.648,0,0,0,0,0,0,0
16599,Plant Ecology,0.875,0.807,0.96,0.976,1.092,0.961,0.957,0.969,1.063,0.943
19700181302,Plant Ecology and Diversity,0,0,0,0,0,0,0.323,0.291,0.607,0.453
19700175482,Plant Ecology and Evolution,0,0,0,0,0,0,0,0,1.262,0.366
24737,Polish Journal of Ecology,0.543,0.292,0.326,0.253,0.479,0.271,0.594,0.303,0.502,0.282
27370,Population Ecology,0.973,0.96,1.15,0.94,0.822,0.647,1.016,0.82,0.995,0.968
4700152709,Progress in Industrial Ecology,0.035,0.13,0.328,0.173,0.315,0.21,0.175,0.216,0.3,0.227
76904,Protection Ecology,0,0,0,0,0,0,0,0,0,0
21100197358,Psyecology,0,0,0,0,0,0,0,0,0.832,0.117
19700186191,Quarterly review of obstetrics and gynecology,0,0,0,0,0,0,0,0,0,0
144785,Rangeland Ecology and Management,0.78,0.522,0.778,0.673,0.74,0.668,0.878,0.749,1.187,1.048
19700174907,Research Journal of Obstetrics and Gynecology,0,0,0,0,0,0,0,0.125,0,0.103
17600155111,Research Letters in Ecology,0,0,0,0,0,0,0,0,0.395,0
37211,Researches on Population Ecology,0,0,0,0,0,0,0,0,0,0
25259,Restoration Ecology,1.4,1.064,1.105,1.084,1.174,0.969,1.192,1.044,1.086,1.08
25304,Russian Journal of Ecology,0.067,0.13,0.155,0.152,0.18,0.17,0.176,0.16,0.267,0.161
28607,South African Journal of Obstetrics and Gynaecology,0.016,0.112,0.13,0.118,0.016,0.103,0.017,0.111,0.009,0.122
36482,Soviet Journal of Ecology,0,0,0,0,0,0,0,0,0,0
33489,Surgery Gynecology and Obstetrics,0,0,0,0,0,0,0,0,0,0
130096,Taiwanese Journal of Obstetrics and Gynecology,0.074,0.121,0.336,0.225,0.585,0.312,0.665,0.351,0.689,0.368
11300153504,Terrestrial Ecology,0,0,0.156,0.134,0.067,0.127,0.046,0.124,0.208,0.142
53283,The Journal of obstetrics and gynaecology of the British Commonwealth,0,0,0,0,0,0,0,0,0,0
98841,The Journal of obstetrics and gynaecology of the British Empire,0,0,0,0,0,0,0,0,0,0
11200153506,Theoretical Ecology,0,0,0,0,0.535,0.758,0.908,1.03,0.686,1.035
19700180833,Theoretical Ecology Series,0,0,0,0,0,0,0,0,0,0
14365,Trends in Ecology and Ecolution,4.651,6.335,4.407,6.418,4.367,6.835,5.249,7.614,5.483,8.702
17819,Tropical Ecology,0.058,0.124,0.163,0.123,0.421,0.168,0.836,0.244,0.864,0.38
28645,Ultrasound in Obstetrics and Gynecology,1.411,1.044,1.566,1.304,1.628,1.55,1.782,1.575,1.944,1.678
28646,Ultrasound Review of Obstetrics and Gynecology,0,0,0,0,0,0,0,0,0,0
29652,Urban Ecology,0,0,0,0,0,0,0,0,0,0
21100201520,US Obstetrics and Gynecology,0,0,0,0,0,0,0,0,0,0
22550,Web Ecology,0.504,0.187,0.175,0.228,0.332,0.263,0.297,0.211,0.326,0.167
19400157034,West African Journal of Applied Ecology,0,0,0,0,0,0,0,0.101,0.202,0.125
19431,Wetlands Ecology and Management,0.51,0.323,0.631,0.524,0.851,0.407,1.003,0.458,0.978,0.578
5700191202,WIT Transactions on Ecology and the Environment,0.019,0.11,0.051,0.11,0.053,0.108,0.073,0.119,0.061,0.131
